Designator,Mid X,Mid Y,Rotation,Layer
C10,150.5,-74.75,270.0,top
C11,117.9285,-77.3,90.0,top
C12,116.1285,-77.3,90.0,top
C13,95.0,-75.25,0.0,top
C14,124.132323,-76.42,0.0,top
C15,125.7,-84.1,90.0,top
C16,128.4,-84.4,90.0,top
C17,132.1,-75.9,90.0,top
C18,104.9785,-78.275,270.0,top
C19,131.7,-91.9,90.0,top
C20,135.0,-91.92,270.0,top
C21,123.0,-87.25,270.0,top
C22,120.25,-86.75,270.0,top
C23,122.9,-97.4,0.0,top
C24,122.9,-93.9,0.0,top
C25,106.7285,-78.275,270.0,top
C26,114.35,-103.65,180.0,top
C27,110.75,-103.65,0.0,bottom
C28,116.75,-107.175,0.0,top
C29,108.3,-106.5,90.0,bottom
C30,116.75,-109.5,0.0,top
C31,116.75,-109.5,180.0,bottom
C32,122.9,-100.8,0.0,top
C33,122.75,-103.5,180.0,top
C34,125.25,-106.5,0.0,top
C35,125.25,-108.75,0.0,top
C36,116.75,-86.75,270.0,top
C37,113.25,-86.75,270.0,top
C38,134.0,-86.67,270.0,top
C39,134.0,-83.92,90.0,top
C40,112.867677,-94.6,180.0,top
C47,135.0,-95.4,0.0,top
C48,83.45,-107.5,270.0,bottom
C49,85.3,-114.5,0.0,top
C50,85.3,-116.2,0.0,top
C51,99.0,-77.25,270.0,bottom
C52,97.25,-77.25,270.0,bottom
C53,104.7,-84.25,180.0,bottom
C54,104.7,-82.5,180.0,bottom
C9,152.7,-91.9,90.0,top
D1,153.9375,-83.0,90.0,top
D2,152.75,-97.5,90.0,top
D6,128.2,-109.9,270.0,bottom
D7,158.825,-106.125,180.0,bottom
D9,141.3,-110.8,270.0,bottom
F1,158.3,-107.1,180.0,top
FB1,106.7,-74.8,90.0,top
H5,119.75,-69.1,0.0,top
H6,164.75,-69.1,0.0,top
H7,164.75,-114.1,0.0,top
H8,119.75,-114.1,0.0,top
IC1,102.25,-76.675,180.0,bottom
IC10,120.95,-106.25,270.0,top
IC2,157.879317,-76.579424,90.0,top
IC3,157.825,-90.238,90.0,top
IC4,134.0,-97.75,180.0,top
IC5,103.5,-87.5,0.0,bottom
IC8,112.5,-106.413,270.0,top
IC9,112.5,-106.426,270.0,bottom
J10,112.25,-118.9,180.0,top
J11,167.9,-103.5,90.0,top
J12,110.15,-69.52,0.0,bottom
J33,135.65,-117.15,180.0,top
J34,146.4,-117.0,180.0,top
J36,165.25,-76.1,270.0,top
J37,165.25,-89.7,270.0,top
J4,126.95,-118.8,180.0,top
J5,130.0,-69.6,0.0,bottom
J6,99.15,-71.8,0.0,bottom
J7,107.35,-118.9,180.0,bottom
J8,142.6,-69.6,0.0,bottom
J9,93.9,-115.2,180.0,bottom
JP3,85.8,-101.15,270.0,bottom
JP4,89.6,-101.2,270.0,bottom
L1,139.5,-85.3,270.0,top
Q1,133.5,-110.15,270.0,bottom
Q2,146.65,-110.15,270.0,bottom
R1,146.85,-105.4,270.0,top
R10,157.1,-96.9,90.0,top
R11,158.9,-96.9,90.0,top
R12,155.4,-96.9,90.0,top
R13,152.8,-94.7,180.0,top
R14,161.4,-94.9,180.0,top
R15,153.5,-87.25,180.0,top
R16,156.25,-85.5,180.0,top
R17,139.1,-75.5,90.0,top
R18,137.4125,-75.5,270.0,top
R19,110.75,-103.65,0.0,top
R2,111.1,-76.3,0.0,bottom
R20,114.35,-103.65,0.0,bottom
R21,119.0,-103.5,0.0,top
R22,134.0375,-75.5,270.0,top
R25,133.4,-91.9,90.0,top
R26,130.2,-75.5,90.0,top
R27,135.725,-75.5,270.0,top
R28,127.1,-90.6,90.0,top
R29,128.7,-92.0,90.0,top
R3,162.25,-83.25,180.0,top
R4,153.5,-71.25,0.0,top
R42,124.4,-107.15,0.0,bottom
R43,124.4,-108.8,0.0,bottom
R44,127.45,-104.1,90.0,bottom
R45,129.5,-104.1,90.0,bottom
R5,156.5,-83.2,90.0,top
R53,85.25,-107.5,270.0,bottom
R54,95.8,-105.8,90.0,bottom
R55,97.8,-105.8,90.0,bottom
R56,85.0,-88.2,180.0,top
R57,84.2,-86.4,180.0,top
R6,153.5,-79.25,180.0,top
R62,88.6,-74.375,270.0,top
R7,162.25,-81.5,180.0,top
R8,153.5,-72.8,180.0,top
R9,156.5,-70.75,90.0,top
S1,84.7,-74.175,270.0,top
TP2,167.7,-110.45,0.0,top
TP3,165.5,-84.75,90.0,top
TP4,159.25,-70.75,90.0,top
TP5,108.5,-72.0,180.0,top
TP6,127.9,-111.3,0.0,top
TP7,118.8,-118.4,0.0,top
TP8,104.4,-116.1,0.0,top
U1,91.54,-103.75,90.0,top
U4,111.5,-75.7,180.0,top
U5,131.55,-85.282499,270.0,top
U7,96.0,-78.25,270.0,top
